"Reported Date","Reported Year","Reported Month","Number Dead","Number Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Migration Route","Latitude","Longitude"
"May 24, 2017",2017,"May",1,"",1,"","",1,"","Unknown","Central Mediterranean","37.341309150989"," 12.282344312500"
"May 19, 2017",2017,"May",1,1,2,"","",2,"","Drowning","Central Mediterranean","33.934168820000"," 12.981615630000"
"May 19, 2017",2017,"May","",1,1,24,"","","","Drowning","Western Mediterranean","35.314206700000"," -2.947116700000"
"May 19, 2017",2017,"May","",156,156,4,"","","","Drowning","Central Mediterranean","33.103258380000"," 13.035023910000"
"May 17, 2017",2017,"May",2,"",2,"","","","","Drowning","Central Mediterranean","32.898250830000"," 13.179219470000"
"May 16, 2017",2017,"May",1,"",1,"",1,"","","Drowning","Central Mediterranean","32.804314190000"," 12.490506180000"
"May 16, 2017",2017,"May",1,"",1,"","","","","Drowning","Central Mediterranean","32.891908750000"," 13.186772570000"
"May 16, 2017",2017,"May",2,"",2,"",1,1,"","Drowning","Central Mediterranean","32.791837780000"," 12.719922000000"
"May 15, 2017",2017,"May",7,13,20,484,2,5,"","Crushed, Drowning","Central Mediterranean","35.205060848507"," 13.302815447500"
"May 15, 2017",2017,"May","",1,1,6,"","","","Drowning","Western Mediterranean","35.846343790000"," -5.776402957000"
"May 08, 2017",2017,"May",11,"",11,"",11,"",1,"Drowning","Central Mediterranean","32.781230600000"," 12.696461100000"
"May 07, 2017",2017,"May","",82,82,50,"","","","Drowning","Central Mediterranean","35.532153500000"," 12.742396800000"
"May 07, 2017",2017,"May","",102,102,7,30,"",9,"Drowning","Central Mediterranean","32.781230600000"," 12.696461100000"
"May 04, 2017",2017,"May",1,"",1,"","",1,"","Shot","Central Mediterranean","30.375663591234"," 19.036399787500"
"May 03, 2017",2017,"May",19,"",19,"","","","","Drowning","Central Mediterranean","31.842978308005"," 18.047630256250"
"May 02, 2017",2017,"May",1,"",1,"","","","","Drowning","Central Mediterranean","33.105267400000"," 11.709794500000"
"May 01, 2017",2017,"May",6,"",6,"","","","","Drowning","Central Mediterranean","32.973902800000"," 13.342174100000"
"April 26, 2017",2017,"Apr",1,"",1,"","","","","Unknown","Central Mediterranean","32.112545100000"," 23.933578100000"
"April 24, 2017",2017,"Apr",16,7,23,2,6,8,2,"Drowning","Eastern Mediterranean","39.366085100000"," 26.166767200000"
"April 23, 2017",2017,"Apr",1,"",1,"",1,"","","Unknown","Central Mediterranean","35.099139200000"," 13.048850200000"
"April 18, 2017",2017,"Apr","",30,30,"","","","","Drowning","Central Mediterranean","35.099139200000"," 13.048850200000"
"April 18, 2017",2017,"Apr",4,"",4,"","","","","Crushed","Central Mediterranean","35.099139200000"," 13.048850200000"
"April 18, 2017",2017,"Apr","",10,10,"","","","","Drowning","Central Mediterranean","35.099139200000"," 13.048850200000"
"April 18, 2017",2017,"Apr","",7,7,"","","","","Drowning","Central Mediterranean","35.099139200000"," 13.048850200000"
"April 18, 2017",2017,"Apr","",17,17,"","","","","Drowning","Central Mediterranean","35.099139200000"," 13.048850200000"
"April 18, 2017",2017,"Apr",28,"",28,"",4,"","","Dehydration, Starvation","Central Mediterranean","32.791284000000"," 12.415264900000"
"April 18, 2017",2017,"Apr","",35,35,"","","","","Drowning","Central Mediterranean","35.099139200000"," 13.048850200000"
"April 16, 2017",2017,"Apr",13,20,33,"",2,4,1,"Drowning","Central Mediterranean","35.099139200000"," 13.048850200000"
"April 16, 2017",2017,"Apr",2,"",2,"","","","","Drowning","Central Mediterranean","34.422826311333"," 13.154201256250"
"April 16, 2017",2017,"Apr",7,"",7,"","","","","Drowning","Central Mediterranean","36.347854800000"," 14.445509300000"
"April 15, 2017",2017,"Apr",5,"",5,101,"","","","Drowning","Central Mediterranean","32.792138400000"," 13.704410400000"
"April 14, 2017",2017,"Apr",1,"",1,"","",1,"","Drowning","Western Mediterranean","35.913489558500"," -5.380811969897"
"April 13, 2017",2017,"Apr","",97,97,23,15,77,5,"Drowning","Central Mediterranean","32.862970600000"," 13.121579700000"
"April 12, 2017",2017,"Apr","",5,5,6,"","","","Presumed drowning","Western Mediterranean","36.025882516454"," -5.328865761719"
"April 11, 2017",2017,"Apr",3,"",3,32,1,1,1,"Unknown","Western Mediterranean","35.939594400000"," -3.036476200000"
"April 07, 2017",2017,"Apr",1,"",1,148,"","","","Unknown","Central Mediterranean","35.099139200000"," 13.048850200000"
"April 07, 2017",2017,"Apr",1,"",1,"","","","","Unknown","Central Mediterranean","32.791284000000"," 12.415264900000"
"April 02, 2017",2017,"Apr",1,"",1,"","",1,"","Drowning","Eastern Mediterranean","39.147213500000"," 26.528026000000"
"March 29, 2017",2017,"Mar",3,"",3,"",1,2,"","Drowning","Central Mediterranean","32.791284000000"," 12.415264900000"
"March 28, 2017",2017,"Mar",1,5,6,141,"","","","Drowning","Central Mediterranean","32.791284000000"," 12.415264900000"
"March 28, 2017",2017,"Mar",4,"",4,85,"","","","Drowning","Central Mediterranean","32.781230600000"," 12.696461100000"
"March 26, 2017",2017,"Mar",1,"",1,"","","","","Unknown","Central Mediterranean","35.265509900000"," 13.259102500000"
"March 26, 2017",2017,"Mar",1,"",1,"",1,"","","Unknown","Central Mediterranean","30.509284612352"," 17.722392637500"
"March 25, 2017",2017,"Mar",1,"",1,"",1,"",1,"Drowning","Central Mediterranean","32.771957900000"," 12.483225900000"
"March 24, 2017",2017,"Mar",11,"",11,9,2,"",5,"Drowning","Eastern Mediterranean","37.747294000000"," 27.240156300000"
"March 24, 2017",2017,"Mar",3,1,4,3,"","","","Presumed drowning","Western Mediterranean","36.248835565283"," -6.346569366992"
"March 24, 2017",2017,"Mar",1,"",1,"","",1,"","Unknown","Central Mediterranean","35.265509900000"," 13.259102500000"
"March 23, 2017",2017,"Mar",5,"",5,"","",5,"","Hypothermia","Central Mediterranean","32.893867600000"," 12.205049500000"
"March 23, 2017",2017,"Mar","",130,130,"","","","","Drowning","Central Mediterranean","32.815891800000"," 12.398003600000"
"March 22, 2017",2017,"Mar",1,"",1,"","","","","Unknown","Central Mediterranean","35.265509900000"," 13.259102500000"
"March 21, 2017",2017,"Mar",2,66,68,54,"",2,"","Drowning","Central Mediterranean","32.893867600000"," 12.205049500000"
"March 20, 2017",2017,"Mar",10,"",10,"",1,9,"","Burned","Central Mediterranean","32.785733400000"," 12.703041200000"
"March 19, 2017",2017,"Mar",3,"",3,215,"","","","Drowning","Central Mediterranean","33.010693000000"," 12.047669600000"
"March 19, 2017",2017,"Mar","",10,10,117,"","","","Presumed drowning","Central Mediterranean","33.433576577011"," 12.526182562500"
"March 18, 2017",2017,"Mar","",8,8,"","","","","Drowning","Central Mediterranean","35.099139200000"," 13.048850200000"
"March 11, 2017",2017,"Mar",1,"",1,"","","","","Unknown","Central Mediterranean","32.791284000000"," 12.415264900000"
"March 09, 2017",2017,"Mar",11,"",11,"","","","","Drowning","Central Mediterranean","32.791284000000"," 12.415264900000"
"March 08, 2017",2017,"Mar",3,"",3,"","","","","Drowning","Central Mediterranean","32.656753600000"," 14.266525000000"
"March 04, 2017",2017,"Mar","",6,6,178,"","","","Drowning","Central Mediterranean","35.099139200000"," 13.048850200000"
"March 03, 2017",2017,"Mar",1,"",1,"","",1,"","Drowning","Western Mediterranean","36.418759500000"," -6.242722000000"
"March 03, 2017",2017,"Mar",1,"",1,"","",1,1,"Sickness and lack of access to medicines","Central Mediterranean","37.207444300000"," 15.923595400000"
"March 03, 2017",2017,"Mar",1,"",1,"","","","","Unknown","Central Mediterranean","35.099139200000"," 13.048850200000"
"March 03, 2017",2017,"Mar","",25,25,115,"","","","Drowning","Central Mediterranean","32.936246200000"," 13.403390100000"
"March 02, 2017",2017,"Mar",1,"",1,"","",1,"","Drowning","Western Mediterranean","36.051743056922"," -5.803197855078"
"March 01, 2017",2017,"Mar",1,"",1,"","",1,"","Drowning","Western Mediterranean","36.075576792542"," -5.413881649121"
"February 26, 2017",2017,"Feb",1,"",1,"","",1,"","Drowning","Central Mediterranean","32.775910100000"," 12.697316400000"
"February 26, 2017",2017,"Feb",1,"",1,"","","","","Drowning","Western Mediterranean","36.486584900000"," -6.303310700000"
"February 23, 2017",2017,"Feb",14,"",14,400,"","","","Drowning","Central Mediterranean","33.010693000000"," 12.047669600000"
"February 23, 2017",2017,"Feb",1,"",1,"","",1,"","Drowning","Western Mediterranean","35.893784113931"," -5.310254017664"
"February 20, 2017",2017,"Feb",74,"",74,"","",74,"","Drowning","Central Mediterranean","32.781230600000"," 12.696461100000"
"February 19, 2017",2017,"Feb",6,"",6,"","","","","Drowning","Central Mediterranean","32.781230600000"," 12.696461100000"
"February 19, 2017",2017,"Feb","",118,118,"","","","","Drowning","Central Mediterranean","32.749201632784"," 14.339309423828"
"February 15, 2017",2017,"Feb","",9,9,2,"","","","Drowning","Western Mediterranean","35.854571821186"," -5.797675591797"
"February 12, 2017",2017,"Feb","",2,2,3,"","","","Drowning","Western Mediterranean","35.974691964994"," -5.615392255078"
"February 06, 2017",2017,"Feb",1,"",1,"","",1,1,"Dehydration","Central Mediterranean","38.675777400000"," 16.098348800000"
"February 05, 2017",2017,"Feb",1,"",1,45,1,"","","Drowning","Eastern Mediterranean","39.343261000000"," 26.671927000000"
"February 04, 2017",2017,"Feb","",3,3,113,"","",3,"Drowning","Central Mediterranean","32.862970600000"," 13.121579700000"
"January 30, 2017",2017,"Jan","",3,3,11,"","","","Drowning","Western Mediterranean","36.746431600000"," -2.172064600000"
"January 29, 2017",2017,"Jan",1,1,2,"",1,"","","Unknown","Central Mediterranean","36.308006500000"," 11.962684900000"
"January 28, 2017",2017,"Jan",2,"",2,151,"",2,2,"Hypothermia","Central Mediterranean","35.390804474108"," 13.390907556250"
"January 27, 2017",2017,"Jan",1,2,3,299,"","","","Drowning","Central Mediterranean","32.791284000000"," 12.415264900000"
"January 24, 2017",2017,"Jan",10,"",10,"",1,8,1,"Drowning","Central Mediterranean","32.911519200000"," 13.117770000000"
"January 21, 2017",2017,"Jan",5,"",5,"","","","","Drowning","Central Mediterranean","32.791284000000"," 12.415264900000"
"January 21, 2017",2017,"Jan",1,"",1,"","","","","Drowning","Central Mediterranean","32.911519200000"," 13.117770000000"
"January 15, 2017",2017,"Jan",1,"",1,"","",1,"","Unknown","Eastern Mediterranean","37.700274600000"," 27.036172000000"
"January 14, 2017",2017,"Jan",4,172,176,4,"","","","Drowning","Central Mediterranean","33.095322800000"," 12.648929300000"
"January 14, 2017",2017,"Jan",1,"",1,2,1,"","","Unknown","Western Mediterranean","35.176142300000"," -2.924073300000"
"January 14, 2017",2017,"Jan","",3,3,"",1,2,"","Drowning","Western Mediterranean","35.176142300000"," -2.924073300000"
"January 14, 2017",2017,"Jan",8,7,15,4,1,6,1,"Drowning","Western Mediterranean","35.999138366460"," -5.610585736524"
"January 14, 2017",2017,"Jan",1,"",1,7,1,"","","Hypothermia","Western Mediterranean","35.927882159511"," -5.294504086328"
"January 13, 2017",2017,"Jan",3,"",3,"","","","","Hypothermia","Central Mediterranean","33.640686300000"," 16.661223200000"
"January 13, 2017",2017,"Jan",2,"",2,193,"","","","Suffocation","Central Mediterranean","33.640686300000"," 16.661223200000"
"January 12, 2017",2017,"Jan",14,"",14,"","","","","Hypothermia","Central Mediterranean","33.010693000000"," 12.047669600000"
"January 10, 2017",2017,"Jan",1,"",1,"","","","","Drowning","Central Mediterranean","32.791284000000"," 12.415264900000"
"January 04, 2017",2017,"Jan",5,"",5,"","","","","Drowning","Central Mediterranean","32.900612100000"," 13.046172600000"
"January 04, 2017",2017,"Jan",3,"",3,45,1,"",1,"Drowning","Western Mediterranean","35.176142300000"," -2.924073300000"
"January 02, 2017",2017,"Jan",1,"",1,"","","","","Drowning","Central Mediterranean","32.880838500000"," 13.344353800000"
"January 01, 2017",2017,"Jan",2,"",2,"","","","","Fall from border fence","Western Mediterranean","35.908666342858"," -5.378892755481"
"December 31, 2016",2016,"Dec",2,"",2,"","","","","Drowning","Central Mediterranean","33.206798600000"," 11.220954700000"
"December 24, 2016",2016,"Dec",1,"",1,8,"","",1,"Unknown","Central Mediterranean","36.756978000000"," 11.992879400000"
"December 23, 2016",2016,"Dec",5,56,61,62,"","","","Drowning","Central Mediterranean","32.761023100000"," 12.699894300000"
"December 22, 2016",2016,"Dec",1,57,58,63,"","","","Unknown","Central Mediterranean","36.756978000000"," 11.992879400000"
"December 22, 2016",2016,"Dec",7,40,47,80,"","","","Unknown","Central Mediterranean","36.756978000000"," 11.992879400000"
"December 21, 2016",2016,"Dec",7,"",7,300,"","","","Unknown","Central Mediterranean","36.756978000000"," 11.992879400000"
"December 19, 2016",2016,"Dec",5,"",5,8,1,"",4,"Drowning","Eastern Mediterranean","39.337116500000"," 26.702316500000"
"December 14, 2016",2016,"Dec","",20,20,"","","","","Drowning","Central Mediterranean","36.756978000000"," 11.992879400000"
"December 13, 2016",2016,"Dec",2,"",2,"","","","","Presumed drowning","Central Mediterranean","32.786147400000"," 12.695773100000"
"December 13, 2016",2016,"Dec",2,1,3,"","","","","Presumed drowning","Central Mediterranean","32.727987400000"," 15.068537300000"
"December 13, 2016",2016,"Dec","",87,87,27,"","","","Presumed drowning","Central Mediterranean","32.761023100000"," 12.699894300000"
"December 11, 2016",2016,"Dec",6,"",6,165,"","","","Unknown","Central Mediterranean","34.180460400000"," 15.864573500000"
"December 11, 2016",2016,"Dec",15,"",15,"","","","","Unknown","Central Mediterranean","32.816624900000"," 13.342539900000"
"December 10, 2016",2016,"Dec",8,"",8,"","","","","Unknown","Central Mediterranean","32.816624900000"," 13.342539900000"
"December 09, 2016",2016,"Dec",1,"",1,"",1,"","","Unknown","Central Mediterranean","33.507917400000"," 11.117421700000"
"December 09, 2016",2016,"Dec",2,"",2,"","",2,"","Unknown","Central Mediterranean","33.208609900000"," 11.213254400000"
"December 08, 2016",2016,"Dec",10,"",10,"","","","","Unknown","Central Mediterranean","32.816624900000"," 13.342539900000"
"December 07, 2016",2016,"Dec",2,"",2,"",2,"","","Hypothermia","Central Mediterranean","34.180460400000"," 15.864573500000"
"December 07, 2016",2016,"Dec",7,"",7,38,"","","","Drowning","Western Mediterranean","35.252860800000"," -3.957889200000"
"December 06, 2016",2016,"Dec",5,"",5,"","","","","Unknown","Central Mediterranean","32.816624900000"," 13.342539900000"
"December 05, 2016",2016,"Dec",11,"",11,"","","","","Drowning","Central Mediterranean","32.955844000000"," 13.227944400000"
"December 04, 2016",2016,"Dec",2,"",2,"",2,"","","Hypothermia","Central Mediterranean","34.180460400000"," 15.864573500000"
"December 04, 2016",2016,"Dec",14,6,20,120,"",11,3,"Drowning","Central Mediterranean","34.180460400000"," 15.864573500000"
"December 04, 2016",2016,"Dec",4,"",4,140,"","","","Drowning","Central Mediterranean","34.180460400000"," 15.864573500000"
"November 26, 2016",2016,"Nov",8,"",8,1,"","","","Dehydration","Central Mediterranean","34.089237900000"," 13.438092000000"
"November 25, 2016",2016,"Nov",1,"",1,"","",1,"","Drowning","Western Mediterranean","35.891802400000"," -5.333986200000"
"November 23, 2016",2016,"Nov",2,26,28,"","","","","Unknown","Central Mediterranean","36.481138100000"," 12.407658900000"
"November 22, 2016",2016,"Nov",7,"",7,"","","","","Unknown","Central Mediterranean","34.253371600000"," 14.498815300000"
"November 18, 2016",2016,"Nov",6,3,9,4,"","","","Drowning","Eastern Mediterranean","37.347060700000"," 27.184556100000"
"November 17, 2016",2016,"Nov","",25,25,"","","","","Presumed drowning","Central Mediterranean","34.253371600000"," 14.498815300000"
"November 16, 2016",2016,"Nov",4,"",4,15,"",4,"","Drowning","Eastern Mediterranean","40.649775600000"," 24.651801300000"
"November 16, 2016",2016,"Nov",7,96,103,27,"","","","Drowning","Central Mediterranean","34.253371600000"," 14.498815300000"
"November 15, 2016",2016,"Nov",4,95,99,23,"","","","Drowning","Central Mediterranean","34.253371600000"," 14.498815300000"
"November 14, 2016",2016,"Nov","",135,135,15,"",135,"","Presumed drowning","Central Mediterranean","34.253371600000"," 14.498815300000"
"November 14, 2016",2016,"Nov",5,1,6,114,"","","","Drowning","Central Mediterranean","34.253371600000"," 14.498815300000"
"November 14, 2016",2016,"Nov","",3,3,122,"",3,1,"Presumed drowning","Central Mediterranean","34.253371600000"," 14.498815300000"
"November 09, 2016",2016,"Nov",4,22,26,"","","","","Drowning","Central Mediterranean","34.253371600000"," 14.498815300000"
"November 06, 2016",2016,"Nov",1,"",1,115,"","","","Drowning","Central Mediterranean","32.763298800000"," 14.313630800000"
"November 05, 2016",2016,"Nov",10,12,22,"",12,"","","Unknown","Central Mediterranean","34.253371600000"," 14.498815300000"
"November 05, 2016",2016,"Nov",1,"",1,"","","","","Unknown","Central Mediterranean","34.253371600000"," 14.498815300000"
"November 04, 2016",2016,"Nov",1,"",1,48,"",1,"","Drowning","Eastern Mediterranean","37.724580500000"," 26.677828300000"
"November 02, 2016",2016,"Nov","",128,128,2,"","","","Presumed drowning","Central Mediterranean","34.253371600000"," 14.498815300000"
"November 01, 2016",2016,"Nov",12,99,111,29,"","",3,"Drowning","Central Mediterranean","30.880495400000"," 16.351669700000"
"October 29, 2016",2016,"Oct",3,"",3,"","","","","Drowning","Central Mediterranean","34.253371600000"," 14.498815300000"
"October 28, 2016",2016,"Oct",2,4,6,"","","","","Drowning","Central Mediterranean","34.253371600000"," 14.498815300000"
"October 27, 2016",2016,"Oct",2,32,34,"","","","","Unknown","Central Mediterranean","34.253371600000"," 14.498815300000"
"October 26, 2016",2016,"Oct",97,"",97,29,3,92,2,"Drowning","Central Mediterranean","32.955844000000"," 13.227944400000"
"October 26, 2016",2016,"Oct",9,1,10,"",1,"","","Unknown","Central Mediterranean","34.253371600000"," 14.498815300000"
"October 26, 2016",2016,"Oct",1,29,30,"","","","","Drowning","Central Mediterranean","34.253371600000"," 14.498815300000"
"October 26, 2016",2016,"Oct","",29,29,"","","","","Drowning","Central Mediterranean","34.253371600000"," 14.498815300000"
"October 26, 2016",2016,"Oct",6,4,10,"",4,"",2,"Unknown","Central Mediterranean","34.253371600000"," 14.498815300000"
"October 26, 2016",2016,"Oct","",10,10,140,"","","","Unknown","Central Mediterranean","34.253371600000"," 14.498815300000"
"October 25, 2016",2016,"Oct",29,"",29,107,"","","","Asphyxiation","Central Mediterranean","30.880495400000"," 16.351669700000"
"October 25, 2016",2016,"Oct",1,"",1,"",1,"","","Unknown","Central Mediterranean","37.343939900000"," 14.111439900000"
"October 22, 2016",2016,"Oct",1,"",1,"","","","","Unknown","Central Mediterranean","34.253371600000"," 14.498815300000"
"October 22, 2016",2016,"Oct","",30,30,"",2,"",1,"Asphyxiation, Drowning","Central Mediterranean","34.253371600000"," 14.498815300000"
"October 21, 2016",2016,"Oct",1,"",1,"",1,"","","Drowning","Central Mediterranean","34.253371600000"," 14.498815300000"
"October 21, 2016",2016,"Oct",3,"",3,"","","","","Asphyxiation, Drowning","Central Mediterranean","34.253371600000"," 14.498815300000"
"October 21, 2016",2016,"Oct",13,"",13,120,"","","","Unknown","Central Mediterranean","34.253371600000"," 14.498815300000"
"October 21, 2016",2016,"Oct",4,10,14,"","","","","Unknown","Central Mediterranean","34.253371600000"," 14.498815300000"
"October 19, 2016",2016,"Oct",5,4,9,118,"","","","Unknown","Central Mediterranean","33.102551800000"," 13.130846500000"
"October 14, 2016",2016,"Oct","",17,17,113,"",13,1,"Presumed drowning","Central Mediterranean","38.960724200000"," 10.904485400000"
"October 12, 2016",2016,"Oct",1,3,4,"","","","","Presumed drowning","Western Mediterranean","35.895384600000"," -5.334817200000"
"October 09, 2016",2016,"Oct",2,"",2,"",1,1,1,"Drowning","Central Mediterranean","32.955797400000"," 12.058880000000"
"October 06, 2016",2016,"Oct",1,"",1,"","",1,1,"Drowning","Eastern Mediterranean","37.843869900000"," 27.242286000000"
"October 05, 2016",2016,"Oct",3,"",3,"",2,"",1,"Drowning","Central Mediterranean","32.955797400000"," 12.058880000000"
"October 04, 2016",2016,"Oct",28,"",28,"","","","","Asphyxiation","Central Mediterranean","34.253371600000"," 14.498815300000"
"October 03, 2016",2016,"Oct",11,"",11,"",2,7,2,"Drowning","Central Mediterranean","32.885643000000"," 13.678685600000"
"October 03, 2016",2016,"Oct",10,"",10,"","","","","Unknown","Central Mediterranean","32.727987400000"," 15.068537300000"
"October 03, 2016",2016,"Oct",30,"",30,"","","","","Drowning","Central Mediterranean","32.878302000000"," 12.386814500000"
"October 03, 2016",2016,"Oct",1,"",1,"","",1,"","Presumed drowning","Eastern Mediterranean","37.599864200000"," 26.029615800000"
"September 29, 2016",2016,"Sep",7,20,27,3,"","","","Drowning","Eastern Mediterranean","37.031906900000"," 27.421418000000"
"September 28, 2016",2016,"Sep",18,"",18,"","","","","Drowning","Central Mediterranean","32.096425800000"," 23.920516700000"
"September 21, 2016",2016,"Sep",204,84,288,162,10,31,1,"Drowning","Central Mediterranean","31.473281800000"," 30.323640200000"
"September 20, 2016",2016,"Sep",1,"",1,14,"","","","Dehydration","Central Mediterranean","37.162570000000"," 9.121454400000"
"September 15, 2016",2016,"Sep",1,"",1,750,"","","","Drowning","Central Mediterranean","38.960724200000"," 10.904485400000"
"September 14, 2016",2016,"Sep",5,"",5,164,4,1,"","Unknown","Central Mediterranean","33.368631500000"," 12.111977800000"
"September 07, 2016",2016,"Sep",4,"",4,"","","","","Presumed drowning","Central Mediterranean","32.802807600000"," 12.702760600000"
"September 05, 2016",2016,"Sep",7,"",7,"","","","","Unknown","Central Mediterranean","38.960724200000"," 10.904485400000"
"September 05, 2016",2016,"Sep",1,"",1,"","","","","Unknown","Central Mediterranean","38.960724200000"," 10.904485400000"
"September 05, 2016",2016,"Sep",7,"",7,"","","","","Unknown","Central Mediterranean","38.960724200000"," 10.904485400000"
"September 05, 2016",2016,"Sep",5,"",5,250,"","","","Presumed drowning","Central Mediterranean","32.804517100000"," 12.539645100000"
"September 02, 2016",2016,"Sep",3,"",3,931,"","","","Unknown","Central Mediterranean","37.093073700000"," 11.861018900000"
"September 01, 2016",2016,"Sep",1,"",1,1050,"",1,"","Unknown","Central Mediterranean","38.960724200000"," 10.904485400000"
"August 31, 2016",2016,"Aug",3,"",3,"","","","","Unknown","Central Mediterranean","38.960724200000"," 10.904485400000"
"August 31, 2016",2016,"Aug",1,"",1,"","","","","Unknown","Central Mediterranean","38.960724200000"," 10.904485400000"
"August 29, 2016",2016,"Aug",2,"",2,"","","","","Unknown","Central Mediterranean","37.093073700000"," 11.861018900000"
"August 26, 2016",2016,"Aug",1,"",1,"","",1,"","Drowning","Western Mediterranean","36.745269700000"," -3.281736600000"
"August 25, 2016",2016,"Aug",1,"",1,"","","","","Unknown","Central Mediterranean","38.960724200000"," 10.904485400000"
"August 23, 2016",2016,"Aug","",7,7,"","",7,"","Drowning","Western Mediterranean","35.932805800000"," -5.646866100000"
"August 21, 2016",2016,"Aug",1,2,3,12,1,"","","Drowning","Eastern Mediterranean","38.344648300000"," 26.048123200000"
"August 18, 2016",2016,"Aug",5,2,7,32,3,1,3,"Unknown","Central Mediterranean","32.834477600000"," 12.384084800000"
"August 17, 2016",2016,"Aug","",1,1,1,"",1,"","Presumed drowning","Western Mediterranean","36.527403700000"," -6.334261800000"
"August 15, 2016",2016,"Aug",1,"",1,"","",1,"","Unknown","Western Mediterranean","36.725051000000"," -3.737953800000"
"August 15, 2016",2016,"Aug",1,"",1,"",1,"","","Presumed drowning","Central Mediterranean","32.795698200000"," 12.708749300000"
"August 15, 2016",2016,"Aug",3,"",3,"","","","","Presumed drowning","Central Mediterranean","32.857907700000"," 12.377552000000"
"August 11, 2016",2016,"Aug","",9,9,"","","","","Presumed drowning","Western Mediterranean","35.895384600000"," -5.334817200000"
"August 08, 2016",2016,"Aug",1,"",1,182,"","","","Presumed drowning","Central Mediterranean","32.795698200000"," 12.708749300000"
"August 02, 2016",2016,"Aug",21,"",21,"","","","","Presumed drowning","Central Mediterranean","32.814694900000"," 12.880910500000"
"July 31, 2016",2016,"Jul",1,"",1,"","","","","Unknown","Central Mediterranean","33.416533100000"," 16.230191400000"
"July 31, 2016",2016,"Jul",4,"",4,10,"","",2,"Drowning","Central Mediterranean","33.416533100000"," 16.230191400000"
"July 31, 2016",2016,"Jul",120,"",120,"","","","","Presumed drowning","Central Mediterranean","32.809482300000"," 12.394473800000"
"July 22, 2016",2016,"Jul",3,7,10,4,"","","","Drowning","Western Mediterranean","35.845001500000"," -5.353364800000"
"July 22, 2016",2016,"Jul",18,"",18,"","",17,1,"Unknown","Central Mediterranean","33.416533100000"," 16.230191400000"
"July 20, 2016",2016,"Jul",22,"",22,104,21,1,"","Presumed asphyxiation","Central Mediterranean","33.416533100000"," 16.230191400000"
"July 19, 2016",2016,"Jul",1,"",1,842,"","","","Unknown","Central Mediterranean","33.416533100000"," 16.230191400000"
"July 13, 2016",2016,"Jul",4,3,7,6,2,2,2,"Drowning","Eastern Mediterranean","39.189261800000"," 26.130606100000"
"July 12, 2016",2016,"Jul",4,"",4,400,"","","","Asphyxiation","Central Mediterranean","33.593035300000"," 13.542852100000"
"July 12, 2016",2016,"Jul",1,20,21,100,"","","","Drowning","Central Mediterranean","33.157534600000"," 12.941982400000"
"July 08, 2016",2016,"Jul",1,"",1,"","",1,"","Unknown","Western Mediterranean","35.879984700000"," -5.368993200000"
"July 02, 2016",2016,"Jul",13,4,17,11,"","","","Drowning","Central Mediterranean","35.102507300000"," 12.135376000000"
"June 30, 2016",2016,"Jun",10,"",10,107,10,"","","Unknown","Central Mediterranean","37.093073700000"," 11.861018900000"
"June 26, 2016",2016,"Jun",1,"",1,"","","","","Unknown","Central Mediterranean","37.655757600000"," 15.600992900000"
"June 25, 2016",2016,"Jun",6,"",6,1000,"","","","Unknown","Central Mediterranean","31.456234200000"," 15.457398700000"
"June 24, 2016",2016,"Jun","",17,17,"","","","","Presumed drowning","Central Mediterranean","40.667939500000"," 17.941440100000"
"June 23, 2016",2016,"Jun",1,"",1,100,"","","","Unknown","Central Mediterranean","32.834477600000"," 12.384084800000"
"June 17, 2016",2016,"Jun",2,"",2,113,2,"","","Presumed asphyxiation","Central Mediterranean","33.941303600000"," 12.719495500000"
"June 14, 2016",2016,"Jun",9,"",9,"","","","","Presumed drowning","Central Mediterranean","32.939319900000"," 12.084725100000"
"June 12, 2016",2016,"Jun",1,"",1,133,"","","","Unknown","Central Mediterranean","33.941303600000"," 12.719495500000"
"June 09, 2016",2016,"Jun",2,"",2,1950,"","","","Unknown","Central Mediterranean","33.941303600000"," 12.719495500000"
"June 07, 2016",2016,"Jun",1,"",1,3,"",1,"","Unknown","Western Mediterranean","35.164741700000"," -2.953516600000"
"June 03, 2016",2016,"Jun",10,329,339,319,"","","","Drowning","Central Mediterranean","35.344528400000"," 25.184769200000"
"May 29, 2016",2016,"May",45,200,245,625,"","","","Drowning","Central Mediterranean","35.102507300000"," 12.135376000000"
"May 28, 2016",2016,"May","",47,47,78,"","","","Presumed drowning","Central Mediterranean","32.770354400000"," 12.376176000000"
"May 28, 2016",2016,"May",1,"",1,340,"","","","Drowning","Central Mediterranean","35.102507300000"," 12.135376000000"
"May 26, 2016",2016,"May","",550,550,87,"","",40,"Drowning","Central Mediterranean","33.050577000000"," 12.059376000000"
"May 26, 2016",2016,"May","",9,9,"","","","","Presumed drowning","Central Mediterranean","36.917477600000"," 14.514321100000"
"May 26, 2016",2016,"May",1,"",1,526,"","","","Unknown","Central Mediterranean","36.917477600000"," 14.514321100000"
"May 25, 2016",2016,"May",6,"",6,139,1,"","","Unknown","Central Mediterranean","36.917477600000"," 14.514321100000"
"May 25, 2016",2016,"May",5,250,255,460,"","","","Drowning","Central Mediterranean","32.761023100000"," 12.699894300000"
