"Reported Date","Reported Year","Reported Month","Number Dead","Number Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Migration Route","Latitude","Longitude"
"February 10, 2018",2018,"Feb",1,"",1,"","",1,"","Drowning","Western Mediterranean","36.729843473764"," 2.792090733594"
"February 09, 2018",2018,"Feb",3,"",3,32,"",3,"","Hypothermia","Western Mediterranean","35.746320190537"," -3.214241932031"
"February 09, 2018",2018,"Feb",7,"",7,"","","","","Presumed drowning","Central Mediterranean","32.938443110773"," 12.087154137109"
"February 08, 2018",2018,"Feb",1,"",1,"","","","","Drowning","Western Mediterranean","36.185775189622"," 0.259513731250"
"February 03, 2018",2018,"Feb",21,26,47,1,8,31,5,"Drowning","Western Mediterranean","35.583186593035"," -2.795275034375"
"February 01, 2018",2018,"Feb",14,86,100,3,1,1,2,"Drowning","Central Mediterranean","33.245635482342"," 12.247829185937"
"January 28, 2018",2018,"Jan",1,"",1,"",1,"","","Unknown","Central Mediterranean","34.740267700000"," 10.748212700000"
"January 27, 2018",2018,"Jan",2,32,34,96,2,"",3,"Drowning","Central Mediterranean","34.750921892473"," 13.535156250000"
"January 26, 2018",2018,"Jan",2,"",2,"",1,1,"","Drowning","Western Mediterranean","36.280790301064"," 0.094711585937"
"January 23, 2018",2018,"Jan",3,"",3,57,"","","","Presumed drowning","Western Mediterranean","35.359236275280"," -2.644685650781"
"January 23, 2018",2018,"Jan","",1,1,"",1,"",1,"Presumed drowning","Western Mediterranean","35.805774336301"," -0.803585382031"
"January 21, 2018",2018,"Jan",1,"",1,"","",1,"","Presumed drowning","Central Mediterranean","32.791261100000"," 13.736076500000"
"January 20, 2018",2018,"Jan",2,"",2,34,"","","","Drowning","Western Mediterranean","35.940576396122"," -3.121201465723"
"January 16, 2018",2018,"Jan",3,"",3,"","",3,2,"Unknown","Central Mediterranean","33.416093240500"," 13.213310956250"
"January 16, 2018",2018,"Jan",2,"",2,17,1,1,"","Drowning","Western Mediterranean","35.852954014280"," -0.814755301172"
"January 13, 2018",2018,"Jan",1,"",1,"","",1,"","Drowning","Western Mediterranean","36.058654404974"," 0.061860512109"
"January 12, 2018",2018,"Jan",1,"",1,"","",1,"","Presumed drowning","Western Mediterranean","36.801272200000"," 3.568616200000"
"January 09, 2018",2018,"Jan","",100,100,16,"","","","Presumed drowning","Central Mediterranean","33.461246171967"," 14.630447728125"
"January 09, 2018",2018,"Jan",3,8,11,43,"","","","Presumed drowning","Western Mediterranean","35.891005756583"," -5.659332275391"
"January 07, 2018",2018,"Jan",2,10,12,270,2,"","","Presumed drowning","Central Mediterranean","32.983002330562"," 13.768852058594"
"January 06, 2018",2018,"Jan",8,56,64,86,6,2,5,"Unknown","Central Mediterranean","34.078380455797"," 13.268242596875"
"January 05, 2018",2018,"Jan",4,"",4,4,"","","","Presumed drowning","Western Mediterranean","35.880538323659"," -5.519505224414"
"January 04, 2018",2018,"Jan",1,"",1,"","",1,"","Presumed drowning","Western Mediterranean","36.784676783801"," -6.580935208594"
"December 25, 2017",2017,"Dec",1,"",1,"","",1,1,"Presumed drowning","Eastern Mediterranean","38.430189025971"," 27.102313915039"
"December 22, 2017",2017,"Dec",1,"",1,"","",1,"","Presumed drowning","Western Mediterranean","35.878049717478"," -5.327972173691"
"December 22, 2017",2017,"Dec",1,"",1,"","","","","Presumed drowning","Central Mediterranean","32.926409826220"," 13.113060712109"
